% c = laundry (clothes)
% d = dishwasher
% s = shower
% y = sprinklers (yard)
%c  d  s  y  usage (in gallons)
 1, 0, 1, 1, 841
 0, 0, 2, 0,   9
 0, 1, 1, 0,  15
 0, 0, 1, 0,   6
 0, 1, 2, 1, 838
 0, 0, 2, 0,  11
 1, 0, 2, 0,  37
 1, 1, 2, 1, 859
 0, 1, 1, 0,  13
 0, 1, 1, 0,  10
 0, 0, 2, 1, 805
 0, 0, 2, 0,  11
 2, 1, 2, 0,  65
 0, 1, 1, 1, 811
 0, 0, 1, 0,   9
 0, 0, 1, 0,   7
 0, 0, 2, 1, 792
 1, 1, 1, 0,  37
 0, 0, 2, 0,   9
 1, 0, 1, 1, 922
 0, 1, 1, 0,  15
 1, 1, 1, 0,  65
 1, 0, 2, 1, 858
 0, 0, 2, 0,   6
 0, 0, 1, 0,  11
 0, 1, 1, 0,  18
 0, 0, 1, 0,  11
 1, 0, 2, 0,  38
 1, 1, 1, 0,  36
 0, 0, 2, 0,   9
